aaaa	NC_045512

yosx	NC_002163
pbte	NZ_LT907842
rpct	NZ_CP058243
raph	NC_003197 NC_003277
icnh	NZ_CP033699 NZ_CP033697 NZ_CP033698 NZ_CP033700
nddz	NC_007795
yjsa	NZ_CP035288 NZ_CP035289 NZ_CP035290
klyg	NZ_CP066300 NZ_CP066301
ehyh	NC_011725
ufoq	NC_008261
yfss	NC_003210
sfbl	NZ_CP009360 NZ_CP009406 NZ_CP009405
pzql	NZ_CP039850
xkhu	NC_004572
dgyn	NZ_CP030753
cmqy	NC_005042
kavc	NZ_CP009610
sudm	NC_000962
esgb	NC_000913
pjbc	NC_017379
ohdw	NC_004545 NC_004555
moiu	NC_005043
nifx	NZ_CP021520
ymyi	NC_004556 NC_004554
yfap	NC_021505
uohe	NZ_CP010450
atmu	NZ_CP061003 NZ_CP061004
ltnt	NZ_CP020414 NZ_CP020413
bwat	NZ_LN831027 NZ_LN831028
wmas	NC_007530 NC_007322 NC_007323
gzgr	NC_004337 NC_004851
taaz	NZ_CP026999
nukk	NZ_CP018804
vbmh	NZ_CP068034
qase	NZ_LR134512
vnod	NC_002516
kvop	NZ_CP044068 NZ_CP044069
ogqs	NC_021283
iide	NC_012924
orlr	NC_008639
hbth	NZ_CP015121 NZ_CP015122
byji	NC_012026
esni	NC_006270
lutr	NZ_LN877293
wyqo	NZ_CP061527 NZ_CP061528 NZ_CP061529
ndmo	NZ_CP013742
lfzz	NC_017581
mjea	NC_006833
kzzq	NC_007604 NC_007595
hczh	NC_016901 NC_016905
rjbh	NC_009438
unyv	NZ_CP040111
gouq	NZ_CP045605
tfht	NC_006461 NC_006462 NC_006463
ppkp	NC_000117
lctv	NC_000908
djao	NZ_CP013450 NZ_CP013452 NZ_CP013451
uqyt	NZ_CP008781 NZ_CP008782
zvbs	NZ_CP009727 NZ_CP009728
odsd	NZ_LS483459
tqgy	NZ_CP007480
tmzn	NC_007484 NC_007483
wuam	NZ_CM000747
kiqu	NZ_CP012943 NZ_CP012944
ljbe	NC_007205
cfjn	NZ_AP017624 NZ_AP017625
tzqf	NZ_AP014524 NZ_AP014525
hxxx	NZ_CP058907
jfgg	NC_009049 NC_009050 NC_009040
jaip	NZ_LR134373
mwnv	NC_016933
qxtl	NC_009497
fzpu	NZ_AP019750
ijwz	NZ_CP026671 NZ_CP026672
rrkn	NC_007618 NC_007624
wkfq	NC_007633
bnew	NC_008783
pbzy	NZ_CP048044
opkg	NZ_CP059443 NZ_CP059444
enia	NZ_CP007810
ursj	NC_009380
zmex	NC_011978
ygyd	NZ_CP019870
ulsh	NZ_CP027407 NZ_CP027406 NZ_CP027408
tebw	NC_007347 NC_007348 NC_007337 NC_007336
hfcc	NC_011830
cetj	NZ_CP051883
pwdk	NZ_CP014324
dehr	NC_002971 NC_004704
sdwz	NZ_AP012544 NZ_AP012545 NZ_AP012546
qdau	NC_009953
tyic	NC_017310 NC_017311
ewkh	NC_007940
jixr	NC_000964
jcoh	NZ_CP015444 NZ_CP015445
bhpw	NC_010263
solz	NZ_CP070624 NZ_CP070625 NZ_CP070626
vupz	NC_008277 NC_008274 NC_008273 NC_008569 NC_008568 NC_008567 NC_008566 NC_008564 NC_008565
lolj	NZ_CP030777
tykf	NZ_CP028341
bhpf	NZ_CP009467 NZ_CP009468
qnlk	NC_009142
ourf	NZ_CP031781 NZ_CP031782
eunv	NC_010172
mbnd	NZ_CP065637 NZ_CP065636
ugsh	NC_012726
