atcb	NC_002163
hdws	NC_016830
scbk	NC_003198 NC_003384 NC_003385
xbfw	NC_003902
purh	NC_003143 NC_003131 NC_003134 NC_003132
atka	NC_007795
tuoo	NC_004461 NC_005008 NC_005007 NC_005006 NC_005005 NC_005004 NC_005003
pdlk	NC_002662
eess	NC_004722 NC_004721
fdal	NC_008261
ikod	NC_003210
hhcy	NC_002944
fqzz	NC_004572
kftn	NC_009053
wqcx	NC_005042
kxuy	NC_000907
koal	NC_000962
lwsm	NC_002695 NC_002128 NC_002127
epww	NC_000915
hvxv	NC_000922
eicw	NC_004061
khaq	NC_003112
uhzm	NC_002488 NC_002489 NC_002490
haav	NC_002737
rqna	NC_003098
pijz	NC_011985 NC_011983 NC_011994 NC_011990 NC_011987
czow	NC_020800 NC_020801 NC_020798 NC_020797
ujhn	NC_004342 NC_004343
brai	NC_003454
vvsh	NC_003997
anyr	NC_004337 NC_004851
vfzs	NC_004307 NC_004943
oxfs	NC_010519
vpij	NC_007005
rdfx	NC_004116
gxfj	NC_002516
ezde	NZ_CP014636 NZ_CP014637 NZ_CP014638
txcf	NC_007295
axhb	NC_012926 NC_012923
eoiq	NC_008639
ioci	NC_008711 NC_008712 NC_008713
aaii	NZ_CP009257
vkry	NC_012026
rqlv	NC_006270
bnxd	NC_006347 NC_006297
yhsv	NC_007606 NC_009344 NC_007607
jarn	NC_002942
upiv	NC_007384 NC_009345 NC_009346 NC_009347 NC_007385
opun	NC_017581
zntg	NC_006833
msva	NC_016901 NC_016905
yvhm	NC_006576
yine	NC_009438
kqts	NC_005295
exnh	NC_009513
dgdy	NZ_CP011007 NZ_CP011023
dfzu	NC_006461 NC_006462 NC_006463
bkvg	NC_003450
rqgd	NC_011000 NC_011001 NC_011002 NC_011003
pkzj	NC_000117
whck	NC_000908
xtyj	NC_006350 NC_006351
rejt	NC_006348 NC_006349
dfwr	NC_007164 NC_003080
ydza	NC_007799
ewod	NC_007484 NC_007483
mvgj	NC_005957 NC_006578
aohm	NC_003295 NC_003296
tsea	NC_007205
xxzb	NC_007613 NC_007608
uihg	NC_008611 NC_005916
asqx	NC_002505 NC_002506
xdnm	NZ_CP009913
ffri	NC_007778
ikuh	NC_009428 NC_009429 NC_009430 NC_009431 NC_009432 NC_009433
jubf	NC_009708 NC_009705 NC_009704
whmx	NC_006570
brtk	NC_009497
lbfu	NC_008054
hfwm	NC_008508 NC_008509
tvkk	NC_006932 NC_006933
mthb	NC_007633
ibcm	NC_008783
qgvu	NZ_CP022263 NZ_CP022264 NZ_CP022266 NZ_CP022265
qiwy	NC_022759
jhyb	NC_013853
rlar	NC_010717
cgyc	NC_007712 NC_007713 NC_007714 NC_007715
diga	NC_009380
vkmq	NC_011978
swux	NC_009089 NC_008226
dmev	NC_008209 NC_008386 NC_008387 NC_008388 NC_008389
mlui	NC_007347 NC_007348 NC_007337 NC_007336
ylmv	NC_009348 NC_009349 NC_009350 NC_004923 NC_004925 NC_004924
ajsz	NC_011830
jjbb	NC_008528
iefh	NC_002971 NC_004704
zzxr	NC_014334 NC_011352
rxyy	NC_009953
zgjh	NC_011769
gpsm	NC_010002
elka	NC_007940
irlz	NC_000964
wzcd	NC_009637
modb	NC_010682 NC_010678 NC_010683
beys	NZ_CP012381
vqkg	NZ_CP008934 NZ_CP008935
fzsm	NC_010263
qqmr	NZ_CP021151 NZ_CP021152 NZ_CP021153 NZ_CP021154 NZ_CP021155 NZ_CP021156
twmk	NC_018887
vnpo	NC_008618
omfi	NZ_CP009467 NZ_CP009468
fgat	NC_009142
ogxm	NC_004603 NC_004605
qxgx	NC_015930
chgn	NC_010172
bvbv	NC_012589
xojf	NC_010505 NC_010510 NC_010509 NC_010514 NC_010517 NC_010518 NC_010502 NC_010504 NC_010507
wsmk	NC_009488
efar	NC_010610
cfko	NC_009706 NC_009466
vkhw	NC_010729
zyrm	NC_008571
nxzr	NC_010503
qmmp	NC_011374
qhlt	NC_005364
sykc	NC_007651 NC_007650
yrut	NC_023137 NC_023138 NC_023148 NC_023139 NC_023140 NC_023141 NC_023142 NC_023143
esdg	NC_020911 NC_020907
lujg	NC_006840 NC_006841 NC_006842
sxpw	NZ_CP008726 NZ_CP008727
wxmj	NC_009698
sbno	NC_010804 NC_010805 NC_010801 NC_010802
hpdb	NC_009667 NC_009668 NC_009669 NC_009670 NC_009671 NC_009672
ccfj	NC_000963
mvar	NZ_CP003679
lelq	NC_001318 NC_001903 NC_000948 NC_000949 NC_000950 NC_000951 NC_000952 NC_000953 NC_000954 NC_001904 NC_001849 NC_000955 NC_001850 NC_001851 NC_001852 NC_001853 NC_001854 NC_001855 NC_001856 NC_000957 NC_001857 NC_000956
mfgq	NC_011369 NC_011368 NC_011366 NC_011370 NC_011371
aful	NC_011891
imhy	NC_010407 NC_010399 NC_010408
gkxf	NC_014222
qibh	NC_010602 NC_010843 NC_010844
updy	NZ_HG917972 NZ_HG917973
ecbk	NC_010103 NC_010104
prfd	NC_010551 NC_010552 NC_010557 NC_010553
ouik	NC_004310 NC_004311
tscb	NC_004668 NC_004669 NC_004671 NC_004670
ajia	NC_017249
vbqm	NZ_AP012326
uimb	NC_016845 NC_016838 NC_016846 NC_016839 NC_016840 NC_016847 NC_016841
xrek	NC_011365 NC_011367
idhs	NC_010296
iyzl	NC_009515
oswm	NC_019042
gowx	NC_007761 NC_007762 NC_007763 NC_007764 NC_007765 NC_007766 NC_004041
xokw	NC_007963
xuxh	NC_010161 NC_010160
outn	NZ_CP016559 NZ_CP016560
irzd	NC_009012
xvdp	NZ_CP018744 NZ_CP018750 NZ_CP018754 NZ_CP018755 NZ_CP018749 NZ_CP018745 NZ_CP018746 NZ_CP018747 NZ_CP018748 NZ_CP018751 NZ_CP018752 NZ_CP018753
edfd	NC_017287 NC_017288
pmkf	NC_012815
dwho	NC_014551
xjob	NC_004350
xwdt	NZ_CP006704
ebbk	NC_017960 NC_017961 NC_017962 NC_017963
tmxv	NC_002946
gbvx	NZ_CP009692 NZ_CP009691 NZ_CP009690 NZ_CP009689
zbom	NZ_CP009364 NZ_CP009363
lbxv	NZ_CP009997
dale	NC_018632
uqij	NC_010943
jmfi	NC_014638
grxr	NC_012803
yssj	NZ_CM000776
basw	NC_012470
rkde	NC_015709 NC_015715 NC_015716
wjvo	NZ_LT549890
kvwa	NC_011852
cnnv	NC_002677
mldl	NZ_CP015164 NZ_CP015165 NZ_CP015166 NZ_CP015167
jdfm	NZ_CP010103 NZ_CP010104
pcrc	NZ_CP008918
rdor	NC_013198
tycy	NC_010336 NC_010331
xxfg	NC_011959 NC_011961
nnzu	NC_017448
afbd	NC_015857 NC_015858
pogh	NC_022905 NC_022906
gtaj	NZ_CP014067 NZ_CP014068
fuyk	NC_020995
mjov	NC_002696
ecso	NC_003317 NC_003318
wqlo	NC_014500
cfao	NC_012724 NC_012721 NC_012723 NC_012718 NC_012720 NC_012725
hpxc	NC_016826 NC_016837
ngca	NZ_CP009225
qivy	NC_017731
yvqc	NZ_CP009761
khty	NZ_LT630450
uocp	NZ_CP022412
gxuz	NZ_CP012938
blwm	NC_002967
wjxn	NC_021149
ojie	NC_002678 NC_002679 NC_002682
kaku	NC_003047 NC_003037 NC_003078
efyo	NC_002977
ysss	NC_019382
japi	NC_002929
mtdc	NC_018828 NC_018830
pjbx	NC_002940
rlma	NC_003103
fsgj	NC_009446
xqov	NC_004757
emaa	NC_011761
zolt	NC_007643 NC_007641
zyoo	NC_010175
ikkr	NC_014833 NC_014824 NC_014825 NC_014826 NC_014827
tlim	NC_008255
nstm	NC_001263 NC_001264 NC_000959 NC_000958
uqhf	NC_009785
zqax	NC_003030 NC_001988
magp	NC_008530
gyos	NC_003212 NC_003383
doos	NZ_LN831026
iqpn	NC_008596
ojws	NC_007333
jybe	NC_000912
uifv	NC_002771
nfjw	NC_000909 NC_001732 NC_001733
ghsf	NZ_CP009528 NZ_CP009527
pcnu	NC_002578
ffpt	NC_000853
cufj	NC_004432
afzc	NC_007517 NC_007515
jizu	NC_000868 NC_001773
vczc	NC_000917
udlz	NC_003155 NC_004719
nggq	NC_008800 NC_008791
sila	NZ_CP010899 NZ_CP012424 NZ_CP012423 NZ_CP012425
ohhe	NC_007794 NC_009426 NC_009427
hpbb	NC_002689
lwbe	NC_000961
cbyz	NC_002936
ulvt	NC_002939
ztfk	NC_002607 NC_001869 NC_002608
jwag	NC_003361 NC_004720
bmso	NC_002620 NC_002182
ysbc	NC_002570
