smzl	NC_003198 NC_003384 NC_003385
xhvp	NC_007795
vled	NC_000962
wyel	NC_002695 NC_002128 NC_002127
veyz	NC_003098
cyut	NC_002163
tmwt	NC_003143 NC_003131 NC_003134 NC_003132
vlab	NC_004461 NC_005008 NC_005007 NC_005006 NC_005005 NC_005004 NC_005003
mxro	NC_003210
tdes	NC_016830
dolc	NC_002662
iczz	NC_004722 NC_004721
eotw	NC_000915
zijo	NC_003112
frrc	NC_002944
mcdw	NC_003902
jztn	NC_008261
vfoj	NC_000907
sicd	NC_004572
vxxl	NC_005042
bqyn	NC_009053
ykgc	NC_004061
xhjs	NC_002488 NC_002489 NC_002490
bnxy	NC_002737
nrcm	NC_004342 NC_004343
eeeu	NC_002947
zsge	NC_011985 NC_011983 NC_011994 NC_011990 NC_011987
nrvu	NC_003454
akgh	NC_003997
ansz	NC_004337 NC_004851
mukd	NC_007005
gzoj	NC_002516
eqrb	NC_008711 NC_008712 NC_008713
wohp	NZ_CP009257
kakp	NC_004116
qwjd	NC_012926 NC_012923
pebs	NC_004307 NC_004943
uihk	NC_005139 NC_005140 NC_005128
dgix	NC_000922
nxrj	NC_010519
mbrj	NC_020800 NC_020801 NC_020798 NC_020797
acdi	NC_007295
eywu	NC_008639
fzip	NC_012026
xfgf	NC_006270
zuch	NC_006347 NC_006297
hsgv	NC_002942
cfrk	NC_007384 NC_009345 NC_009346 NC_009347 NC_007385
juia	NC_017581
ayxg	NC_007606 NC_009344 NC_007607
xwdb	NC_009513
qnij	NZ_CP011007 NZ_CP011023
gjvf	NC_000117
vtjk	NC_011000 NC_011001 NC_011002 NC_011003
lmnv	NC_006350 NC_006351
swhz	NC_002505 NC_002506
jvip	NC_016901 NC_016905
gnyf	NC_006833
rmwp	NC_009438
enlv	NC_005295
bgeh	NC_006576
vddj	NC_003450
oiyy	NC_006461 NC_006462 NC_006463
qpps	NC_006348 NC_006349
lnju	NC_007164 NC_003080
zavo	NC_007799
yqwp	NC_000908
obnh	NC_007484 NC_007483
yrhx	NC_005957 NC_006578
lbwn	NC_003295 NC_003296
rvha	NC_007205
cozg	NC_007613 NC_007608
yeyp	NC_006570
uoed	NZ_CP009913
xjyo	NC_007778
lnyk	NC_009428 NC_009429 NC_009430 NC_009431 NC_009432 NC_009433
kwxc	NC_009708 NC_009705 NC_009704
vxmi	NC_008054
dnll	NC_006932 NC_006933
vzqz	NC_008508 NC_008509
lsyu	NC_008783
ehjo	NC_007633
wgou	NC_003919 NC_003921 NC_003922
tteh	NC_007705
fidu	NC_009089 NC_008226
srff	NC_022759
witt	NC_013853
qbyc	NC_008528
tond	NC_009348 NC_009349 NC_009350 NC_004923 NC_004925 NC_004924
lqgi	NC_007712 NC_007713 NC_007714 NC_007715
pbxa	NC_009380
gxyp	NC_009497
uzbb	NC_011978
louq	NC_009727 NC_009726
psyd	NC_014334 NC_011352
mvqg	NC_009953
ujrx	NC_000964
cakd	NC_016845 NC_016838 NC_016846 NC_016839 NC_016840 NC_016847 NC_016841
dnye	NC_004603 NC_004605
pegb	NC_007347 NC_007348 NC_007337 NC_007336
evjc	NC_011830
ygnk	NC_008209 NC_008386 NC_008387 NC_008388 NC_008389
uejx	NC_010002
mdin	NC_011769
njle	NC_007940
pksk	NC_009637
mmyi	NC_021744
ajkq	NC_010682 NC_010678 NC_010683
tpex	NZ_CP008934 NZ_CP008935
trtr	NC_010263
rgwu	NC_018887
lqly	NC_008618
afnk	NZ_CP009467 NZ_CP009468
ajgv	NC_009142
rfsx	NC_010172
gfuy	NC_017490
wmiv	NC_012589
mwez	NC_010505 NC_010510 NC_010509 NC_010514 NC_010517 NC_010518 NC_010502 NC_010504 NC_010507
wzse	NC_009488
euen	NC_010729
kokv	NC_010610
rerv	NC_008571
renr	NC_010503
yqeu	NC_011374
cjaa	NC_005364
vqlt	NC_007651 NC_007650
lgmk	NC_009698
kert	NC_004668 NC_004669 NC_004671 NC_004670
xiib	NC_020911 NC_020907
pyun	NC_006840 NC_006841 NC_006842
toqn	NC_010804 NC_010805 NC_010801 NC_010802
rqiu	NC_009706 NC_009466
kjqh	NC_023137 NC_023138 NC_023148 NC_023139 NC_023140 NC_023141 NC_023142 NC_023143
clta	NZ_CP008726 NZ_CP008727
earp	NC_009667 NC_009668 NC_009669 NC_009670 NC_009671 NC_009672
soul	NC_000963
